//
///////////////////////////////////////////EXTRASUNNY_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	22 22 22 			220 212 130 			255 255 255 			0 23 24 			0 31 32 			255 128 0 			5 0 0 			0.8		0.8		0.3			200 100 0			400.0		100.0		0.8			30 20 0			3 3 3			85 85 65 240			248 87 87 87			248 60 121 122			0	90	0	1.00		
// 5 AM
	22 22 22 			194 194 142 			255 255 255 			0 20 20 			0 31 32 			255 128 0 			255 128 0 			-0.1		0.8		0.1			150 100 0			400.0		100.0		0.8			35 9 10			27 30 36			53 104 104 240			248 80 80 80			248 60 190 190			0	90	0	1.00		
// 6 AM
	22 22 22 			210 194 182 			255 255 255 			90 205 255 			200 144 85 			255 128 0 			255 128 0 			8.3		0.8		0.3			140 93 0			800.0		100.0		0.8			100 34 25			120 92 88			90 170 170 240			248 86 86 86			248 149 94 0			25	120	0	1.00		
// 7 AM
	14 6 0 			46 49 52 			255 255 255 			27 23 36 			160 167 119 			255 255 255 			255 255 255 			1.9		0.8		0.3			100 50 75			800.0		100.0		0.5			120 40 40			159 142 106			145 170 170 240			248 161 90 39			248 85 67 124			25	180	0	0.20		
// Midday
	18 0 7 			100 82 75 			255 255 255 			105 98 123 			194 128 91 			255 255 255 			255 255 255 			1.1		0.8		-0.1			150 0 190			800.0		10.0		-0.1			44 34 23			145 164 183			90 170 170 240			248 71 58 131			248 163 121 27			25	180	0	0.20		
// 7 PM
	8 5 5 			41 57 59 			255 255 255 			19 136 99 			144 139 131 			222 88 0 			122 55 0 			3.9		0.8		-0.1			110 40 75			800.0		10.0		0.8			120 40 40			200 123 96			50 97 97 240			248 74 92 104			248 143 104 54			25	180	0	0.20		
// 8 PM
	25 14 14 			210 194 182 			255 255 255 			181 150 84 			167 108 65 			255 128 0 			255 128 0 			1.9		0.8		0.3			100 60 0			800.0		10.0		0.8			120 40 40			72 107 159			67 67 67 240			248 81 85 40			248 66 27 0			25	140	0	1.00		
// 10 PM
	21 20 20 			210 194 182 			255 255 255 			137 100 84 			60 50 52 			255 128 0 			5 8 0 			0.8		0.8		0.3			160 100 0			600.0		10.0		0.8			70 27 10			15 11 34			67 67 62 240			248 209 143 84			248 76 51 0			25	90	0	1.00		
//
///////////////////////////////////////////SUNNY_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	0 20 20 			210 194 182 			255 255 255 			5 12 15 			12 14 13 			255 128 0 			5 0 0 			0.8		0.3		0.3			200 100 0			800.0		100.0		0.8			0 0 0			3 3 3			85 85 65 240			248 110 126 210			248 0 81 104			55	220	0	1.00		
// 5 AM
	6 20 20 			210 194 182 			255 255 255 			0 0 7 			19 39 37 			255 128 0 			255 128 0 			-0.1		0.3		0.8			150 100 0			800.0		100.0		0.8			0 0 0			14 15 18			25 51 52 240			248 102 132 227			248 4 85 95			90	220	0	1.00		
// 6 AM
	22 17 8 			210 194 182 			255 255 255 			90 205 255 			200 144 85 			255 128 0 			255 128 0 			1.1		0.5		0.1			140 93 0			800.0		100.0		0.8			100 34 25			120 92 88			90 170 170 240			248 86 86 86			248 149 94 0			177	220	0	1.00		
// 7 AM
	12 4 0 			78 78 94 			255 255 255 			69 73 90 			189 155 142 			104 0 255 			255 49 0 			1.9		0.8		-0.1			211 0 149			800.0		100.0		0.5			120 40 40			159 142 106			145 170 170 240			248 58 110 115			248 123 70 14			177	220	0	0.49		
// Midday
	36 34 31 			116 103 99 			255 255 255 			57 135 207 			117 150 187 			189 175 0 			168 98 14 			1.6		0.8		-0.1			236 0 190			800.0		100.0		-0.1			44 34 23			129 128 123			90 170 170 240			248 18 110 116			248 84 27 9			88	220	0	0.50		
// 7 PM
	11 6 0 			75 61 54 			255 255 255 			62 88 106 			181 136 168 			198 128 0 			255 128 0 			7.5		0.8		-0.1			110 40 75			800.0		100.0		0.8			120 40 40			155 155 155			50 97 97 240			248 64 110 101			248 44 128 132			88	220	0	0.20		
// 8 PM
	12 10 4 			210 194 182 			255 255 255 			181 150 84 			167 118 65 			255 128 0 			255 128 0 			1.9		0.8		0.1			100 60 0			800.0		43.0		0.8			0 0 0			163 83 63			67 67 67 240			248 129 93 71			248 66 27 0			177	220	0	1.00		
// 10 PM
	22 20 10 			210 194 182 			255 255 255 			172 143 88 			167 118 65 			255 128 0 			5 8 0 			0.8		0.3		0.3			160 100 0			800.0		41.0		0.8			70 27 10			55 55 55			67 67 62 240			248 129 0 0			248 66 106 0			111	60	0	1.00		
//
///////////////////////////////////////////EXTRASUNNY_SMOG_LA 
//
// Midnight
//	Amb					Amb_Obj 				Dir 					Sky top				Sky bot				SunCore			SunCorona			SunSz		SprSz	SprBght		Shdw			LightShd			PoleShd			FarClp			FogSt			LightOnGround			LowCloudsRGB			BottomCloudRGB			WaterRGBA			Alpha1    RGB1			Alpha2    RGB2			CloudAlpha			IntensityLimit			WaterFogAlpha			DirMult 
	33 33 33 			249 244 235 			255 255 255 			19 14 19 			6 6 17 			255 128 0 			5 0 0 			0.8		0.3		0.8			200 102 0			800.0		100.0		0.8			30 20 0			3 3 3			85 85 65 240			248 50 61 114			248 14 46 55			25	80	0	1.00		
// 5 AM
