//
///////////////////////////////////////////EXTRASUNNY_LA
//
//	Amb					Amb_Obj				Dir					Sky top				Sky bot				SunCore				SunCorona			SunSz	SprSz	SprBght		Shdw	LightShd	PoleShd		FarClp		FogSt		LightOnGround	LowCloudsRGB		BottomCloudRGB		WaterRGBA			Alpha1	RGB1				Alpha2		RGB2			CloudAlpha		IntensityLimit		WaterFogAlpha	DirMult
	79	79	112			161	156	156			255	255	255			10	44	46			17	24	47			0	0	0			0	0	0			0		0		1		132		110			255			0			0			0.8				25	20	15			30	25	18			48	59	99	208		88		51	63	90			101			15	15	131		255				255					0				0.4
	79	79	112			161	156	156			255	255	255			10	44	46			17	24	47			0	0	0			0	0	0			0		0		1		132		110			255			0			0			0.8				25	20	15			30	25	18			48	59	99	208		88		51	63	90			101			15	15	131		255				255					0				0.4
	79	79	112			161	156	156			255	255	255			10	23	46			17	24	47			0	0	0			0	0	0			0		0		0.9		132		110			255			0			0			0.8				25	20	15			30	25	18			48	59	99	208		88		51	63	90			101			15	15	131		255				255					0				0.4
	79	79	112			161	156	156			255	255	255			10	23	46			17	24	47			0	0	0			0	0	0			0		0		0.9		132		110			255			0			0			0.8				25	20	15			30	25	18			48	59	99	208		88		51	63	90			101			15	15	131		255				255					0				0.4
	69	69	98			161	156	156			255	255	255			10	23	46			17	24	47			0	0	0			0	0	0			0		0		0.9		132		110			255			0			0			0.8				25	20	15			30	25	18			48	59	99	208		88		51	63	90			30			15	15	131		255				255					0				0.4
	69	69	98			161	156	156			255	255	255			10	23	46			17	24	47			0	0	0			0	0	0			0		0		0.9		132		110			255			0			0			0.8				25	20	15			30	25	18			48	59	99	208		88		51	63	90			63			15	15	131		255				255					0				0.4
	69	69	98			161	156	156			255	255	255			10	39	46			17	24	47			0	0	0			0	0	0			0		0		0.9		132		110			255			0			0			0.8				25	20	15			30	25	18			48	59	99	208		88		51	63	90			63			15	15	131		255				255					0				0.4
	69	69	98			161	156	156			255	255	255			10	39	46			17	24	47			0	0	0			0	0	0			0		0		0.9		132		110			255			0			0			0.8				25	20	15			30	25	18			48	59	99	208		88		51	63	90			63			15	15	131		255				255					0				0.4
	91	91	118			161	156	156			255	255	255			16	97	114			17	24	47			0	0	0			0	0	0			0		0		0.9		132		110			255			0			0			0.8				25	20	15			30	25	18			48	59	99	208		88		51	63	90			63			15	15	131		255				255					0				0.4
	78	79	136			161	156	156			255	255	255			16	97	114			65	79	128			0	0	0			0	0	0			0		0		0.9		132		110			255			0			0			0.8				25	20	15			30	25	18			48	59	99	208		88		51	63	90			63			15	15	131		255				255					0				0.4
